example_id                                                  | status | run_time        |
----------------------------------------------------------- | ------ | --------------- |
./spec/integration/around_spec.rb[1:1]                      | passed | 0.00234 seconds |
./spec/integration/around_spec.rb[1:2]                      | passed | 0.00095 seconds |
./spec/integration/around_spec.rb[1:3]                      | passed | 0.00149 seconds |
./spec/integration/around_spec.rb[1:4]                      | passed | 0.00118 seconds |
./spec/integration/around_spec.rb[1:5]                      | passed | 0.00104 seconds |
./spec/integration/around_spec.rb[1:6:1]                    | passed | 0.00096 seconds |
./spec/integration/auto_injection_spec.rb[1:1]              | failed | 0.00149 seconds |
./spec/integration/custom_step_adapters_spec.rb[1:1]        | passed | 0.00372 seconds |
./spec/integration/operation_spec.rb[1:1]                   | passed | 0.00013 seconds |
./spec/integration/operation_spec.rb[1:2]                   | passed | 0.00014 seconds |
./spec/integration/passing_step_arguments_spec.rb[1:1:1]    | passed | 0.00063 seconds |
./spec/integration/passing_step_arguments_spec.rb[1:2:1]    | passed | 0.00072 seconds |
./spec/integration/passing_step_arguments_spec.rb[1:3:1]    | passed | 0.00038 seconds |
./spec/integration/publishing_step_events_spec.rb[1:1:1]    | passed | 0.00057 seconds |
./spec/integration/publishing_step_events_spec.rb[1:1:2]    | passed | 0.0007 seconds  |
./spec/integration/publishing_step_events_spec.rb[1:2:1]    | passed | 0.00054 seconds |
./spec/integration/publishing_step_events_spec.rb[1:2:2]    | passed | 0.00052 seconds |
./spec/integration/publishing_step_events_spec.rb[1:3:1]    | passed | 0.00075 seconds |
./spec/integration/publishing_step_events_spec.rb[1:3:2]    | passed | 0.00071 seconds |
./spec/integration/transaction_spec.rb[1:1:1]               | passed | 0.0006 seconds  |
./spec/integration/transaction_spec.rb[1:1:2]               | passed | 0.0006 seconds  |
./spec/integration/transaction_spec.rb[1:1:3]               | passed | 0.00058 seconds |
./spec/integration/transaction_spec.rb[1:1:4]               | passed | 0.00072 seconds |
./spec/integration/transaction_spec.rb[1:1:5]               | passed | 0.00058 seconds |
./spec/integration/transaction_spec.rb[1:2:1]               | passed | 0.00075 seconds |
./spec/integration/transaction_spec.rb[1:3:1]               | passed | 0.00055 seconds |
./spec/integration/transaction_spec.rb[1:4:1]               | passed | 0.00055 seconds |
./spec/integration/transaction_spec.rb[1:5:1]               | passed | 0.00059 seconds |
./spec/integration/transaction_spec.rb[1:6:1]               | passed | 0.00043 seconds |
./spec/integration/transaction_spec.rb[1:7:1]               | passed | 0.00047 seconds |
./spec/integration/transaction_spec.rb[1:8:1]               | passed | 0.00043 seconds |
./spec/integration/transaction_spec.rb[1:9:1]               | passed | 0.00068 seconds |
./spec/integration/transaction_spec.rb[1:10:1]              | passed | 0.00052 seconds |
